"data","Somalia","jowhar","lughaye","zeylac","bossaso","dharkenley","daynile","gaalkacyo","hodan","belet_weyne","hawl_wadaag","kahda","marka","caynabo","laas_caanood","xudun","laasqoray","baki","borama","berbera","gebiley","hargeysa","owdweyne","xamar_weyne","garowe","cabdlcasiis","boondheere","karaan","shibis","shangaani","waaberi","wadajir","wardhiigleey","xamar_jabjab","yaaqshiid","afgooye","baidoa","diinsoor","baardheere","belet_xaawo","ceel_waaq","doolow","luuq","garbahaarey","afmadow","kismayo","burco","buuhoodle","sheikh","ceel_afweyn","ceerigaabo","qardho","burtinle","galdogob","hobyo","dhuusamarreeb","cabudwaaq","cadaado","wanla_weyn","xudur","ceel_barde","waajid"
"How many months has this site been established for?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Between 2 and 5 years","39.79","30.43","47.37","80","6.25","14.81","27.59","56.82","8.11","22.83","19.05","34.97","85.71","87.5","88.89","88.89","46.67","87.5","20","60","50","8","100","0","29.63","11.11","0","50","50","42.86","33.33","10.53","0","0","0","22.78","58.4","66.67","50","50","0","0","53.85","0","55.56","37.91","66.67","93.75","87.5","75","44.44","16.67","0","40","100","40","25","80","33.33","33.33","100","100"
"More than 5 years","34.03","63.77","47.37","20","93.75","62.96","5.98","40.91","72.97","70.65","76.19","4.05","0","12.5","11.11","11.11","46.67","12.5","80","40","50","76","0","100","70.37","77.78","75","50","50","42.86","50","89.47","90.91","33.33","83.33","58.23","28.01","33.33","50","50","100","100","38.46","100","44.44","57.69","20","6.25","0","25","55.56","83.33","75","60","0","50","75","20","66.67","66.67","0","0"
"Between 1 and 2 years","11.2","4.35","5.26","0","0","11.11","29.2","2.27","0","3.26","4.76","17.05","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","14.29","8.33","0","0","33.33","0","2.53","10.87","0","0","0","0","0","7.69","0","0","3.85","6.67","0","12.5","0","0","0","25","0","0","10","0","0","0","0","0","0"
"Between 6 months and 1 year","8.26","0","0","0","0","7.41","22.3","0","16.22","3.26","0","16.76","14.29","0","0","0","6.67","0","0","0","0","8","0","0","0","5.56","25","0","0","0","8.33","0","9.09","33.33","0","15.19","2.21","0","0","0","0","0","0","0","0","0.55","6.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Less than 6 months","6.71","1.45","0","0","0","3.7","14.94","0","2.7","0","0","27.17","0","0","0","0","0","0","0","0","0","0","0","0","0","5.56","0","0","0","0","0","0","0","0","16.67","1.27","0.51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"How many shelters are present in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","207.21","143.06","401.05","120.4","598.69","636.85","138.87","270.15","132.38","162.88","166.43","148.88","477.29","722.38","377.72","134.44","126.73","430","365.7","566.9","1181.25","1486.6","262.5","403","370.74","111.67","280.5","70","124.5","120","66.83","217.89","170.73","420.67","159.5","133.27","132.19","120.83","697.5","489.88","214.67","5960","206.23","319.25","76.22","93.24","1704.73","421.88","264.62","223.88","283.44","230.83","162.75","276.4","30.33","291.3","582.62","555.4","57","233.78","80.5","110"
"How many households are present in this site? By household, people living together sharing common resources.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","195.22","154.36","222.79","120.4","719.73","288.48","141.7","303.16","203.24","172.92","137.9","149.72","500.86","587.38","352.78","109.67","138.93","130.88","252.8","298.4","933.5","1152.68","186.72","464.86","392.85","123.5","222.5","70","159.25","112.86","76.42","199.58","289.45","348.33","252.5","120.11","100.69","117.08","696.25","656.5","194","5065","204.77","544.25","59.06","96.77","1462.07","368.62","210.5","212.88","304.67","523.75","158.5","224.4","62","483.9","622.88","579.8","85","233.78","69","71.5"
"How many individuals are present in this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","993.16","731.25","1288.32","705.6","4079.65","859.81","605.27","1543.51","723.16","762.66","450.71","560.73","2897.43","3199.38","2179.22","524.22","790.4","837.75","1637.4","1645.8","5990","8524.72","1098.28","2900.29","2125.52","519.67","1018.75","159","642","493.43","374.67","639.42","889.09","1323.33","906.83","692.44","584.74","516.25","2816.5","3227.12","1240","27800","1289","3148.25","164.22","513.74","7949.8","2027.38","1206.88","1199.38","1587.67","3248.92","597.5","1316.4","279.33","2322.9","2913.5","3308.4","536.5","1402.67","449","566"
"cccm_populationestimates_twentypercent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","159.14","99.59","244.26","125.2","514.35","152","75.11","294.39","119.73","132.13","65.05","79.43","157.57","686.5","436.11","84.22","100.87","259","327.6","279.7","825.5","1407.16","114.28","549.43","270.78","74.5","148.75","32","85.5","58.43","40","110","139.55","97","114.33","136.09","100.92","94.75","563.5","645.5","248","5560","257.85","629.75","17.78","97.34","1226.47","388.69","136.38","152.5","317.67","470.75","97.5","228.6","56","464.8","437.25","661.6","42.83","280.56","90","115"
"If ${cccm_populationestimates_twentypercent} individuals were to arrive tomorrow, would this site be able to accommodate them?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yes","47.14","1.45","52.63","80","29.17","37.04","57.01","25","22.97","75","52.38","39.88","85.71","25","16.67","33.33","13.33","87.5","10","60","0","12","88.89","0","3.7","5.56","0","0","0","0","0","47.37","27.27","33.33","0","67.09","73.34","16.67","100","50","100","0","23.08","100","100","5.49","6.67","75","100","37.5","0","25","0","0","0","80","37.5","0","16.67","22.22","0","83.33"
"No","41.3","95.65","21.05","0","56.25","48.15","31.03","54.55","67.57","19.57","28.57","48.84","14.29","50","83.33","66.67","73.33","12.5","80","40","100","80","0","85.71","92.59","83.33","75","100","100","100","100","47.37","63.64","66.67","100","22.78","14.09","16.67","0","25","0","100","38.46","0","0","91.21","66.67","12.5","0","0","66.67","41.67","75","80","100","0","50","80","50","55.56","100","16.67"
"NC","11.56","2.9","26.32","20","14.58","14.81","11.95","20.45","9.46","5.43","19.05","11.27","0","25","0","0","13.33","0","10","0","0","8","11.11","14.29","3.7","11.11","25","0","0","0","0","5.26","9.09","0","0","10.13","12.56","66.67","0","25","0","0","38.46","0","0","3.3","26.67","12.5","0","62.5","33.33","33.33","25","20","0","20","12.5","20","33.33","22.22","0","0"
"When did the majority of individuals arrive to this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"More than 6 months ago","60.62","50.75","100","100","100","66.67","36.51","90.91","53.42","59.78","85.71","30.06","57.14","100","94.44","100","86.67","87.5","100","100","100","100","100","57.14","59.26","66.67","50","100","100","100","91.67","68.42","72.73","100","83.33","60.76","62.24","91.67","100","100","66.67","100","76.92","100","55.56","84.07","93.33","100","100","100","100","58.33","75","100","100","100","100","100","50","100","25","33.33"
"NC","15.09","13.43","0","0","0","22.22","21.4","1.14","23.29","14.13","9.52","18.75","14.29","0","5.56","0","6.67","12.5","0","0","0","0","0","14.29","37.04","5.56","25","0","0","0","8.33","5.26","9.09","0","0","11.39","18.03","0","0","0","33.33","0","23.08","0","16.67","12.09","6.67","0","0","0","0","41.67","25","0","0","0","0","0","16.67","0","50","0"
"3 to 6 months ago","11.36","28.36","0","0","0","7.41","12.09","7.95","12.33","17.39","0","19.94","14.29","0","0","0","6.67","0","0","0","0","0","0","0","0","11.11","0","0","0","0","0","21.05","9.09","0","0","17.72","13.61","0","0","0","0","0","0","0","11.11","2.2","0","0","0","0","0","0","0","0","0","0","0","0","16.67","0","0","33.33"
"1 to 3 months ago","9.16","7.46","0","0","0","3.7","18.14","0","6.85","5.43","0","26.19","0","0","0","0","0","0","0","0","0","0","0","0","3.7","11.11","25","0","0","0","0","5.26","9.09","0","0","10.13","4.42","8.33","0","0","0","0","0","0","11.11","1.1","0","0","0","0","0","0","0","0","0","0","0","0","16.67","0","0","16.67"
"Less than 1 month ago","3.76","0","0","0","0","0","11.86","0","4.11","3.26","4.76","5.06","14.29","0","0","0","0","0","0","0","0","0","0","28.57","0","5.56","0","0","0","0","0","0","0","0","16.67","0","1.7","0","0","0","0","0","0","0","5.56","0.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","16.67"
"In the past 3 months, how many individuals have arrived to this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","16.31","1.83","13.37","34.2","39.35","6.89","17.6","16.27","20.88","21.02","0.38","15.01","6.57","4.38","30.11","12.22","13.6","27.38","20.3","29.2","10","23.32","9.17","30.71","27.37","13.33","26.25","0","1.25","6","17.25","17.21","39.45","0","5.5","16.05","14.52","11.25","62.5","69.62","13.33","175","31.08","38.25","27.06","8.15","30.93","24.38","8.75","3.75","9.67","16.67","30.5","7.4","0.33","17","48.62","17.2","3.83","7.89","0","9.17"
"In the past 30 days, how many individuals have arrived to this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","8.84","5","14.44","7.4","12.69","4.5","8.56","6.02","19.45","7.02","3","7.16","2.25","4.8","9.67","3.88","2.71","10.25","7.12","11.67","7.5","12","5.21","28","11.48","7.8","60",NA,"0","3.6","13.83","18.67","28.73",NA,"6.25","6.73","9.18","6.17","21.67","16.75","5","85","9.31","10","17.69","4.92","19.58","10.08","10.4","5.83","4.5","6.33","6.5","6","1","4.4","22","3","2.75","1.75",NA,"5.67"
"In the past 3 months, how many individuals have departed from this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","2.45","0.13","0.42","0.8","3.88","0.67","2","3.42","4.84","2.02","0.19","1.39","1.57","4.25","2","1.22","0.33","3.88","2.2","3.2","0","0.72","4.5","0.29","7.67","0.94","1.25","0","0","0","11.33","6.42","2","0","0.17","1","2.74","4.92","0.25","5.62","5.33","21","2.77","7","16.06","1.46","8.8","1.38","9.25","1","4.56","4.67","3","10","5.33","0.5","0","10.4","0.5","0","0","1.67"
"cccm_3month_arrive_minus_depart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Average","13.87","1.67","12.79","33.6","35.88","6","15.92","13.84","16.04","19.01","-0.1","13.29","5","0.5","25.94","11","13.27","24","18.5","30.2","10","22.6","3.78","30.43","19.26","12.44","24.75","0","1.25","5.86","6.33","12.74","37.45","0","4.83","14.77","11.58","6.5","62.25","63.5","8.33","172.5","28.15","28","11.28","6.71","18.53","22.88","-1.5","1.25","5.56","11.17","28.75","-5.8","-5","16.4","64.75","6.8","3.5","7.89","0","5.17"
"Is there an agency responsible for managing this site?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Local authority","31","29","84","60","98","44","28","39","36","7","57","23","14","38","6","11","0","25","0","80","0","80","28","57","100","44","75","0","0","71","8","47","9","33","67","14","18","25","0","12","0","100","8","0","100","52","27","6","12","62","11","0","100","100","0","100","0","100","0","33","75","100"
"UN agency","8","14","0","0","4","4","5","3","3","5","10","5","0","0","0","0","0","0","10","0","0","0","0","14","37","6","0","0","0","0","8","0","0","0","67","0","16","0","0","0","0","50","8","0","33","8","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0"
